#Parameter Lower_error Median Upper_error Best_fit
Max_lnprob 334.117130249
Rp 607381.464243 98440117.2617 374987.662421 98585768.3279
T 159.378108115 1100.42847148 115.185717147 1166.6149631
logZ 0.513063139134 0.257210248317 0.678027684604 0.277739674833
CO_ratio 0.239230640663 0.443856281243 0.224593073741 0.650104093179
log_cloudtop_P 0.75957624305 2.49811433881 0.331200324674 2.90305833029
log_scatt_factor 0.294293951893 0.565419244158 0.25901175803 0.393851267812
error_multiple 0.300493102799 2.79435473755 0.351902214791 2.55202517868
Offset1 3.88561681958e-05 0.000522693675256 3.68194660106e-05 0.000527725875196
